행정구역,2022년07월_남_총인구수,2022년07월_남_연령구간인구수,2022년07월_남_0~9세,2022년07월_남_10~19세,2022년07월_남_20~29세,2022년07월_남_30~39세,2022년07월_남_40~49세,2022년07월_남_50~59세,2022년07월_남_60~69세,2022년07월_남_70~79세,2022년07월_남_80~89세,2022년07월_남_90~99세,2022년07월_남_100세 이상,2022년07월_여_총인구수,2022년07월_여_연령구간인구수,2022년07월_여_0~9세,2022년07월_여_10~19세,2022년07월_여_20~29세,2022년07월_여_30~39세,2022년07월_여_40~49세,2022년07월_여_50~59세,2022년07월_여_60~69세,2022년07월_여_70~79세,2022년07월_여_80~89세,2022년07월_여_90~99세,2022년07월_여_100세 이상
경상남도 창원시 성산구 용지동(4812351500),14367,14367,988,1363,2271,2103,2147,2675,1988,650,162,19,1,14201,14201,904,1200,1871,1831,2272,3043,1980,658,368,73,1
경상남도 창원시 성산구 중앙동(4812352000),18656,18656,1104,1255,3466,3515,2795,3379,2263,694,169,16,0,15893,15893,974,1166,2659,2561,2396,3172,1985,610,301,69,0
경상남도 창원시 성산구 상남동(4812353000),13668,13668,942,1665,2098,1763,2039,2689,1940,396,119,16,1,13565,13565,905,1505,1628,1573,2444,3088,1681,438,242,59,2
경상남도 창원시 성산구 사파동(4812354000),22891,22891,1635,2411,3361,3651,3464,4166,3202,781,200,20,0,23176,23176,1582,2185,2850,3206,3901,4944,2945,922,544,97,0
경상남도 창원시 성산구 가음정동(4812355000),20112,20112,1687,1958,3135,3124,2945,3814,2658,640,139,11,1,19554,19554,1639,1822,2374,2855,3145,4186,2400,672,389,71,1
경상남도 창원시 성산구 성주동(4812356000),13452,13452,1079,1522,2071,1794,1951,2835,1746,374,77,3,0,12384,12384,1001,1324,1594,1482,2111,2894,1417,329,193,38,1
경상남도 창원시 성산구 웅남동(4812357000),3995,3995,179,378,618,520,612,697,632,258,96,5,0,3567,3567,172,317,377,340,553,665,668,281,163,31,0
경상남도 창원시 마산합포구 (4812500000),89785,89785,6531,7408,10218,10926,14224,14560,14991,7972,2731,218,6,90826,90826,6098,6923,8216,9844,12730,14538,16835,9650,5120,856,16
경상남도 창원시 마산합포구 구산면(4812531000),2162,2162,60,71,166,157,259,375,600,342,120,12,0,2003,2003,42,63,90,83,122,325,583,377,261,57,0
경상남도 창원시 마산합포구 진동면(4812532000),6164,6164,513,532,539,662,1103,1020,1070,540,170,14,1,5828,5828,453,498,444,554,906,885,1095,576,349,66,2
경상남도 창원시 마산합포구 진북면(4812533000),1802,1802,28,71,137,123,183,358,500,288,105,8,1,1550,1550,27,53,93,68,101,263,415,258,217,53,2
경상남도 창원시 마산합포구 진전면(4812534000),1893,1893,22,69,127,96,153,380,544,339,145,18,0,1934,1934,18,57,69,65,101,288,487,397,362,89,1
경상남도 창원시 마산합포구 현동(4812551000),6936,6936,992,693,519,1015,1423,940,836,401,109,8,0,7031,7031,929,667,463,1112,1290,926,961,426,215,42,0
경상남도 창원시 마산합포구 가포동(4812552000),941,941,46,44,151,158,117,137,181,91,12,4,0,924,924,38,47,156,138,118,145,152,87,38,5,0
경상남도 창원시 마산합포구 월영동(4812553000),21024,21024,2282,2103,2736,3168,3370,3163,2646,1201,335,20,0,21354,21354,2175,2006,2121,3037,3417,3445,3070,1394,586,101,2
경상남도 창원시 마산합포구 문화동(4812554000),5511,5511,225,307,1081,534,750,887,928,587,197,14,1,5581,5581,207,358,757,479,611,937,1113,683,369,65,2
경상남도 창원시 마산합포구 반월중앙동(4812556500),6879,6879,390,676,789,695,1084,1163,1148,658,256,20,0,7317,7317,346,615,636,632,1056,1235,1346,893,489,69,0
경상남도 창원시 마산합포구 완월동(4812557000),4338,4338,179,345,530,440,609,773,857,433,157,15,0,4607,4607,161,361,473,339,593,828,991,512,309,38,2
경상남도 창원시 마산합포구 자산동(4812558000),4955,4955,202,467,602,450,682,855,988,534,169,5,1,5150,5150,170,363,447,389,648,964,1139,666,325,38,1
경상남도 창원시 마산합포구 교방동(4812561000),8004,8004,609,709,786,1036,1345,1261,1300,683,254,20,1,8148,8148,586,633,704,934,1179,1217,1469,944,415,66,1
경상남도 창원시 마산합포구 오동동(4812563000),9533,9533,454,630,1005,1155,1595,1608,1725,973,355,33,0,9727,9727,443,543,892,1011,1327,1499,2011,1268,646,87,0
경상남도 창원시 마산합포구 합포동(4812564000),3624,3624,195,236,350,505,587,607,644,334,154,11,1,3566,3566,198,192,279,394,426,566,764,452,254,39,2
경상남도 창원시 마산합포구 산호동(4812565000),6019,6019,334,455,700,732,964,1033,1024,568,193,16,0,6106,6106,305,467,592,609,835,1015,1239,717,285,41,1
경상남도 창원시 마산회원구 (4812700000),92449,92449,5873,9074,11154,10466,14856,16525,14872,7292,2209,126,2,92427,92427,5601,8294,9025,9172,14241,16548,16475,8674,3824,564,9
경상남도 창원시 마산회원구 내서읍(4812725000),31475,31475,2193,4010,4237,3074,5237,6185,4315,1691,508,25,0,31253,31253,2061,3673,3332,2944,5645,6226,4155,1990,1086,139,2
경상남도 창원시 마산회원구 회원1동(4812751000),4989,4989,161,330,487,500,740,851,1017,623,263,17,0,5123,5123,166,284,387,336,607,784,1277,835,394,52,1
경상남도 창원시 마산회원구 회원2동(4812752000),4942,4942,328,407,539,696,727,789,850,478,120,8,0,5066,5066,320,351,506,617,637,778,982,579,247,49,0
경상남도 창원시 마산회원구 석전동(4812754500),8276,8276,527,621,870,1162,1279,1380,1388,800,234,14,1,8386,8386,509,602,760,978,1077,1383,1651,990,383,53,0
경상남도 창원시 마산회원구 회성동(4812755000),2996,2996,72,154,295,294,386,546,708,376,150,15,0,2909,2909,64,137,203,204,280,500,765,504,228,24,0
경상남도 창원시 마산회원구 양덕1동(4812756000),5449,5449,274,420,681,633,827,921,1001,535,152,5,0,5423,5423,235,363,548,515,723,941,1208,606,243,41,0
경상남도 창원시 마산회원구 양덕2동(4812757000),15133,15133,1413,1813,1698,1792,2724,2443,2086,888,259,17,0,15679,15679,1394,1666,1359,1859,2852,2649,2386,1037,393,83,1
경상남도 창원시 마산회원구 합성1동(4812758000),4655,4655,327,267,573,639,736,759,811,415,123,4,1,4503,4503,294,265,467,535,606,793,835,477,204,25,2
경상남도 창원시 마산회원구 합성2동(4812759000),3722,3722,111,232,474,422,559,678,695,440,107,4,0,3715,3715,110,211,413,283,471,629,889,496,184,28,1
경상남도 창원시 마산회원구 구암1동(4812760000),4387,4387,171,318,506,473,637,830,860,449,134,9,0,4373,4373,177,304,379,355,518,802,1069,522,214,33,0
경상남도 창원시 마산회원구 구암2동(4812761000),4646,4646,227,393,601,561,697,808,806,425,122,6,0,4611,4611,222,354,572,428,629,805,951,458,170,22,0
